A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12
42.54963917,356.473255,14.93223707,0.017177051,0.017520835,22.21047063,-1.677879787,-0.537310549,-1.18989408,-0.000570985,0.000269999,9.624522358,1399.019371,4705.964631,479.9739458,1.244603233,1.301823707,765.4681756
33.00242521,311.8797796,21.38454869,-1.076567187,-2.139802195,7.53395092,8.554575841,0.266268804,4.094789133,0.322531019,0.730735552,3.572280152,1111.915186,3708.015295,406.744206,-192.8882334,-89.38071298,383.7916658
21.21638804,356.6814722,32.66615031,70.95936104,13.88338333,8.374671491,0.372329772,-0.182132191,6.470220556,7.622821284,3.300776809,0.055778264,692.7892016,4331.606298,548.2000693,788.3624806,338.4035149,97.25944501
20.04042029,354.2030238,18.22724677,-59.60213932,-11.19167746,7.774542818,-3.16e-05,-5.73e-05,-0.000120186,-8.85e-05,2.27e-05,-9.2e-05,693.2071547,4675.399741,471.3921146,-691.1850812,-345.7022519,113.2898477
39.18048398,356.1911871,12.75791914,7.310581068,6.613246131,27.23087475,8.15e-05,-2.15e-05,1.62e-06,-1.23e-05,3.27e-05,-1.01e-05,1264.107354,4479.976593,431.7944246,-0.000140821,6.9e-05,709.8937432
31.60963228,255.5415128,32.19982573,0.199071012,0.039223041,13.82980825,0.278118512,-0.191912958,-6.446555561,-0.038073678,-0.005686981,-0.013740146,1044.258221,2348.271542,402.1793217,-0.063142226,-0.219826663,380.2732045
23.01365829,409.0312602,1.685246123,0.56328233,0.575754415,1.86523502,1.12e-06,1.85e-05,-1.22e-06,-7.51e-06,-4.61e-07,-2.13e-06,795.1935234,5193.014616,385.6196186,-0.000228086,-5.86e-06,134.5466167
21.44771685,409.4425623,5.588200015,0.033929701,0.03450086,2.429064976,1.53e-05,0.000112328,2.85e-05,51.77014727,-1.498372324,0.000111617,739.5634177,5065.932807,471.9553561,-0.19139372,0.0133004,155.3557258
46.9330528,380.3106114,20.97135866,31.67737465,0.763629595,26.99150932,5.85e-05,3.46e-05,2.54e-05,5.58e-05,2.7e-05,4.34e-05,1570.948638,5094.548917,569.8240191,207.4024555,-21.81795559,860.6329955
2.349127214,438.98573,14.54626741,0.009830482,0.011778306,-1.758307796,9.73e-05,0.000123844,-8.26e-06,-0.000125784,-8.43e-05,0.000524342,86.85542906,5586.401281,464.7689861,0.00090644,-0.000377628,-23.66801773
45.32258372,363.6674163,23.52294638,38.96244082,1.123319954,26.13222702,2.81e-05,8.57e-05,-7.32e-06,2e-05,-8.11e-06,5.96e-05,1513.142719,4922.312437,570.1767643,262.4808508,-27.10844147,845.695563
35.99295531,295.691852,27.69566147,0.028525506,0.042347692,15.78566832,0.260810809,-0.296835591,5.435664892,0.010833112,0.010415188,-0.042532919,1196.572793,3329.971821,346.0813232,-0.898592049,0.409994007,469.130891
36.33564145,406.6558266,17.98467734,23.51552095,5.485054975,16.33233846,5.524255956,3.68964894,-18.81801106,28.64871359,27.65295552,4.19991074,1226.963255,5230.690391,550.9626291,257.985194,153.6358052,529.2979504
25.27166364,260.5109312,24.10528195,-1.975165157,0.203489744,5.716218514,0.565714539,0.023257003,9.36553078,0.555706365,-0.326853213,0.210417925,867.6614813,2698.052761,-52.72091675,-2.292030253,-2.524535894,428.4451867
42.61132613,364.9810978,14.32562138,0.016278806,0.014521883,22.72078543,2.7e-05,1.67e-06,-0.000157688,0.09785232,-1.279267769,5.77e-06,1400.438716,4809.918394,483.1546924,-0.001566162,-0.00013277,775.6237012
21.53850274,409.3428368,5.879776661,0.033586666,0.033777967,2.475227551,1.77e-07,0.000110047,-4.15e-05,49.89436242,-1.479156244,0.000127676,741.7971981,5063.309728,473.2859346,-0.180418106,0.014364387,153.6091357
39.11430689,339.4004422,13.24429109,0.02203259,0.018001009,20.35526064,-10.35216366,-0.144202029,-0.250386721,0.001839255,0.000114343,-4.402509351,1256.189174,4449.084672,417.5620739,-1.378447717,-1.455484904,702.5428732
52.37612182,421.5556967,17.50419564,0.020307032,0.019855533,27.43462626,-2.82e-07,-1.82e-05,6.44e-08,-9.38e-06,-9.39e-08,-9.46e-06,1783.097593,5599.885001,602.8165595,-4.29e-05,-2.68e-06,924.6105337
33.80588009,262.1927246,23.05418906,-0.034116833,0.020611982,5.122961696,8.139697451,-0.933183428,7.986315431,-0.014181011,-0.00945813,2.096135593,1177.983999,3090.889943,357.5236284,-0.341336092,-0.060667677,441.2650953
48.60379091,400.1564608,16.75334625,0.140073203,0.160289208,25.97141367,-5.99e-05,2.86e-05,0.02379307,-0.131670889,1.548639469,-1.09e-05,1631.608676,5298.003777,560.0445471,-0.095948243,-0.101075757,871.202264
