ε11,ε22,ε12,κ11,κ22,κ12
0.236486486,0.0,0.0,0.006891892,0.0,0.0
0.0,0.0,0.0,0.006891892,0.0,0.0
0.0,0.0,0.0,0.0,-0.007432432,-0.001486486
-0.060810810999999965,0.0,0.0,-0.011486486,0.0,0.0
0.0,0.0,0.008108108,0.0,0.0,-0.002027027
0.0,0.0,-0.086486486,0.0,0.0,-0.003378378
0.0,0.0,-0.133783784,0.0,0.0,0.004054054
0.17702702700000006,0.0,0.0,-0.003216216,0.0,0.0
0.0,-0.0021621619999999675,0.0,0.003216216,0.0,0.0
0.10270270300000006,0.0,0.0,0.0,0.0,0.000405405
0.087837838,-0.00297297299999999,0.0,0.0,0.0,0.0
0.0,-0.0013513509999999451,0.0,0.0,0.0,0.001216216
0.0,-0.0009459459999999753,0.0,0.0,0.006756757,0.0
0.0,0.0,0.0,0.001837838,-0.002702703,0.0
0.0,0.0,-0.152702703,0.0,0.0,0.004324324
0.25135135100000006,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.004864865
0.2662162159999999,0.0,0.0,-0.00872973,0.0,0.0
0.087837838,0.0,0.0,0.0,0.0,0.0
0.0,-0.0017567569999999977,0.0,0.0,0.0,0.0
0.0,0.0,-0.001351351,0.0,0.0,-0.002162162
0.0,0.0,0.036486486,0.005513514,0.0,0.0
0.2662162159999999,-0.012702702999999982,0.0,0.0,0.0,0.0
0.0,-0.007432431999999989,0.0,0.0,-0.004054054,0.0
0.0,0.0,0.0,-0.003675676,0.005405405,0.0
0.11013513499999994,-0.004189188999999982,0.0,0.0,0.0,0.0
0.0,0.0,0.008108108,0.0,0.0,0.0
-0.008783784000000017,0.0,0.0,-0.00827027,0.0,0.0
0.0,-0.015135134999999966,0.0,0.0,0.0,0.0
0.0,-0.0013513509999999451,0.064864865,0.0,0.0,0.0
-0.10540540499999995,-0.017567568000000033,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.002027027,0.0
0.0,0.0,0.0,0.0,-0.006081081,0.0
0.28108108099999995,0.0035135139999999954,0.0,0.0,0.0,0.0
0.0,0.008378377999999964,0.0,0.015162162,0.0,0.0
0.0,0.007162161999999972,0.0,-0.013783784,0.0,0.0
0.0,-0.0017567569999999977,0.074324324,0.0,0.0,0.0
0.0,0.0,0.0,-0.010567568,0.0,0.003108108
0.0,0.0,0.0,0.00827027,0.0,0.0
0.0,0.0047297299999999876,0.0,0.0,0.0,0.003243243
0.0,0.00027026999999990586,0.0,-0.005972973,0.0,0.0
0.0,-0.009459459000000003,0.0,0.0,0.0,0.001486486
0.0,-0.008243243000000011,0.0,0.0,0.0,-0.001081081
0.0,0.0,0.0,-0.003216216,0.00472973,0.0
0.0,0.0,0.0,0.0,0.0,-0.001891892
0.0,0.0,0.0,-0.014243243,0.0,0.0
-0.07567567600000003,0.00594594599999998,0.0,0.0,0.0,0.0
0.31824324299999995,0.0,0.0,0.0,0.0,0.003513514
0.0,0.0,0.0,0.001378378,0.0,-0.000405405
0.1918918919999999,0.0,0.0,0.0,0.0,-0.001216216
0.0,0.006756757000000002,0.0,0.0,0.0,0.0
0.0,0.004324323999999935,-0.067567568,0.0,0.0,0.0
0.0,0.0,0.0,-0.000918919,0.001351351,0.0
0.0,-0.013108107999999952,0.0,0.0,0.0,-0.002702703
0.0,0.0,0.0,0.005513514,0.0,0.0
0.0,-0.005810811000000027,0.0,-0.000918919,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.004459459
0.14729729699999994,0.0,0.121621622,0.0,0.0,0.0
0.0,0.0,0.0,-0.001837838,-0.002702703,0.0
-0.008783784000000017,0.0,-0.02027027,0.0,0.0,0.0
0.0,-0.00013513499999995293,0.0,0.005513514,0.0,0.0
0.0,0.0,0.0,-0.003675676,-0.005405405,0.0
0.0,0.0,0.0,0.009189189,0.0,0.002702703
0.0,-0.005810811000000027,0.0,0.0,0.0,-0.00027027
0.0,0.0,0.0,-0.004594595,0.0,0.0
0.0,-0.017567568000000033,0.0,0.0,0.0,0.004189189
0.0,0.0,0.102702703,0.0,0.0,-0.000675676
0.0,0.0,-0.058108108,0.0,0.0,0.002972973
0.0,0.007972972999999994,0.0,-0.014702703,0.0,0.0
-0.07567567600000003,0.0,-0.105405405,0.0,0.0,0.0
0.18445945899999994,0.0,0.0,0.0,0.0,0.001081081
0.0,-0.009459459000000003,0.0,0.0,0.007432432,0.0
0.0,0.0,0.140540541,-0.000459459,0.0,0.0
0.028378377999999982,0.0,0.272972973,0.0,0.0,0.0
0.0,0.0,0.0,-0.001378378,0.0,0.000405405
0.20675675699999996,0.0,0.0,0.0,0.0,0.001486486
0.0,0.0,0.131081081,0.0,0.0,0.00027027
0.0,-0.010675675999999967,0.0,0.0,-0.009459459,0.0
0.0,0.0,0.244594595,0.004594595,0.0,0.0
0.013513514000000004,0.0,0.0,-0.006891892,0.0,0.0
0.0,0.0,0.0,0.012864865,0.0,-0.003783784
0.0,0.0,-0.162162162,0.0,0.0,-0.004459459
0.0,-0.005405404999999974,0.0,0.0,0.0,-0.000135135
0.35540540499999995,0.0075675680000000245,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.010108108,0.0,-0.002972973
0.0,-0.004189188999999982,0.0,0.0,0.0,-0.00027027
0.162162162,0.0,0.0,0.0,0.0,0.000675676
0.028378377999999982,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.000459459,0.0,0.0
0.06554054100000006,-0.0017567569999999977,0.0,0.0,0.0,0.0
0.377702703,0.0,0.0,0.0,0.0,-0.004594595
-0.07567567600000003,0.0,0.0,0.0,0.0,0.0
0.0,-0.011081081000000048,0.0,0.0,0.0,-0.002027027
0.0,0.0,0.0,-0.007810811,0.0,-0.002297297
0.39256756800000003,-0.019594595000000048,0.0,0.0,0.0,0.0
0.013513514000000004,0.0,0.0,0.006891892,0.0,0.0
0.0952702700000001,-0.006621622000000049,0.0,0.0,0.0,0.0
0.0,-0.0005405410000000055,0.0,0.0,0.0,0.001486486
0.3108108110000001,0.0,-0.086486486,0.0,0.0,0.0
