ε11,ε22,ε12,ɣ13,ɣ23,κ11,κ22,κ12,A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12,K11,K22,K12
1,0.987702703,0,0,0,0,-0.012162162,0,33.6609907,255.9155615,23.75268273,0.012557961,0.022663277,4.971547386,-8.192559291,-0.915358954,-8.287348266,0.000556468,0.003950787,-4.096623048,1188.704627,2934.23756,305.4829502,0.477464928,0.064969116,441.228528,-0.001973158,0.000214906,-0.000879126
1,1,0,0,0.044594595,0,0,-0.004459459,33.75969493,401.4176303,14.84126532,0.031104005,0.031573136,11.81143188,-2.47E-05,-2.56E-05,-0.000101093,-1.485955333,-0.895466051,7.56E-06,1188.181981,5162.767222,524.3496154,0.266198079,0.29698505,486.2268796,-1.81E-05,44.75143972,0.001624789
1,1,0,0,0.047297297,0,0,0,40.43675629,413.1071635,13.02255712,0.063736952,0.06537967,18.61322262,2.45E-06,1.28E-06,2.34E-06,1.22E-06,6.82E-07,2.07E-07,1370.70153,5377.827012,526.3230414,0.00010753,0.000105127,649.228854,3.33E-05,46.42337493,0.00047087
1.09527027,1,0,0,0,0,0,0,45.65314306,384.0728273,15.58084881,0.499151803,0.535267975,24.87982758,-5.05E-05,-6.19E-06,-3.20E-08,9.48E-06,-2.69E-05,-2.09E-05,1518.324198,5064.382207,523.5447481,1.83E-05,-0.000177517,826.7314989,-0.001792863,0,-0.000896432
1.273648649,1,-0.039189189,0,0,0,0,0,37.21181658,324.1770831,12.47064442,-12.52424327,-0.078544371,19.35433828,3.66E-05,2.53E-05,-1.18E-05,-1.33E-05,5.22E-05,2.31E-05,1184.563069,4260.368326,403.6134819,-84.74121707,6.70756054,669.4154717,9.75E-05,-6.84E-05,1.45E-05
1.184459459,1,0,0,0.010810811,0,0,0,40.74788549,352.9624998,13.43052115,0.016347051,0.017070325,21.61245307,5.71E-05,-2.33E-05,-6.76E-06,-1.30E-05,7.20E-07,-5.02E-06,1327.700128,4641.24734,456.5214223,7.55E-05,0.000337058,741.8105964,-0.010151846,31.83992714,0.577460072
1.229054054,1.000675676,0,0,0,0,0,0,38.80794573,339.0200344,12.72652698,0.020370182,0.017686792,20.31864569,3.45E-05,-1.31E-07,2.06E-06,-1.44E-05,-3.71E-06,2.21E-05,1250.238732,4445.083599,427.3326895,-2.69E-05,-6.65E-05,702.3424328,-6.08E-05,-6.05E-07,-3.07E-05
1.110135135,1,0,-0.002702703,0,0,0,0,44.72420119,377.7648327,15.21329814,0.016360909,0.016617487,23.88010451,1.22E-05,1.19E-05,2.42E-06,4.86E-06,1.23E-05,1.83E-05,1481.945774,4989.40588,511.7023316,1.00E-04,1.74E-05,811.386295,-8.16E-05,0,0.000110282
1,1,0.027027027,0,0,0,0,-0.001756757,41.62637105,413.3104595,17.39890559,14.31625513,3.817273428,20.23193101,4.941715707,2.713270836,-7.757304483,11.67677424,11.61392879,3.44370891,1395.095595,5364.944422,561.432745,161.8893389,110.3810225,658.1014565,-9.44E-06,3.41E-05,1.23E-05
1,1,0,0.009459459,0,0,0.00472973,0,33.79315126,354.7850209,17.73721065,0.035661215,0.033510445,9.535445889,8.331834622,0.228796179,4.599635851,-0.006274129,-0.007419978,3.540103968,1195.918931,4600.635104,496.3469365,-0.442979815,-0.488509063,502.3305687,-6.37E-05,-5.13E-05,-0.000303869
1.273648649,1,0,0,0,0,0,0.002702703,37.19735873,326.7642469,11.69526947,0.026824913,0.019076861,19.14470103,7.08E-06,-2.37E-05,-0.00033593,0.435793218,-12.59588533,1.86E-06,1182.637143,4274.086704,399.2339997,-0.007920012,-0.001133879,665.0522892,-0.000251812,0.000100018,-7.59E-05
1.191891892,1,0,0,-0.012162162,0,0,0,40.40378839,350.6489906,13.25618463,0.016779882,0.015362459,21.39637708,-6.51E-05,-1.84E-05,2.39E-06,-1.45E-07,1.12E-05,-2.77E-05,1314.113917,4608.734963,451.3734101,0.000185852,0.00060981,735.2470359,0.000178269,31.64725057,-0.004269822
1,1,0.017567568,0,0,-0.006432432,0,0,26.26727764,407.7828785,15.34432283,7.894123215,0.551375053,12.9458785,0.837830108,-5.032318594,-23.19086963,3.36963441,1.044028328,-2.909480473,900.9636829,5322.683456,493.3230567,74.11853825,8.443240801,474.5364985,-0.000588358,-0.000313139,-0.000450749
0.931756757,0.984459459,0,0,0,0,0,0,3.023234057,436.6354031,3.156002485,0.037188066,0.037198789,-2.629081743,7.47E-05,-0.00017009,-8.65E-07,-0.000107111,2.57E-05,-4.84E-05,143.4066333,5245.333937,333.8641438,-0.000800537,7.63E-05,-60.86374601,7.160313147,0.717038905,30.9497601
1,1,0.055405405,0,0,0,0,0.001351351,28.90627935,400.7800518,18.17419651,28.69266469,7.443398367,11.42765463,-2.471525147,-2.547517566,-17.80915225,30.62696679,23.640919,-2.293826244,949.9664885,5084.806463,534.8650307,334.4824735,223.6811439,346.7322147,1.36E-06,3.52E-05,1.83E-05
1,1.003108108,0,0.027027027,0,0,0,0,51.54200909,417.5501235,19.37421399,0.01621743,0.016137253,26.94598931,7.57E-05,0.000108633,-4.05E-06,5.53E-05,3.64E-05,9.26E-05,1748.267367,5532.957376,609.9283069,0.000342312,0.00023617,907.0267874,7.575710161,37.65446104,-0.419729364
0.85,1,0,0,0.05,0,0,0,2.1954135,460.6088381,-20.06335923,1.317915687,0.83326135,-2.08367331,9.967672596,0.608410908,-1.049884649,0.02006893,-0.010905915,-7.535001421,95.4174879,5738.050968,222.5684366,-0.292633259,0.146428671,-22.18347238,-0.011669233,52.7599231,-2.026664501
1,1,0,-0.009459459,0.009459459,0,0,0,52.26779669,420.4412836,17.74059296,0.006477507,-0.031419382,27.39839086,1.20E-05,6.34E-06,8.56E-07,4.50E-06,6.91E-06,8.21E-06,1774.012741,5581.638371,604.6057867,0.681034035,0.378316681,921.7458906,8.184571962,48.08815844,-0.208582463
1,1,0,0,0,0,0,-0.001216216,52.0851662,420.321259,18.06222805,0.018827192,0.018867796,27.25293145,2.94E-06,-1.30E-05,9.98E-06,-0.104627048,0.002901079,-8.94E-06,1771.36839,5572.06187,601.1532751,0.044755219,0.049139239,915.9271003,7.846234586,47.55922916,1.081054252
1,0.999459459,0,0.014864865,0,0,0,0,52.04782049,420.8350837,17.85009533,-0.002827834,-0.002613361,27.29615608,2.23E-05,5.78E-05,5.41E-07,2.85E-05,1.16E-05,3.97E-05,1771.356555,5587.216877,604.2316745,0.000187215,7.51E-05,919.7455423,7.638300606,48.18466733,0.052862339
1,1,0,-0.027027027,0.027027027,0,0,0,42.54691278,415.2754279,16.81461741,2.275744553,2.540798779,20.81863157,6.43E-06,1.83E-06,-3.81E-06,6.11E-06,7.89E-06,5.98E-06,1437.975401,5426.612612,582.0521948,55.3709713,75.33650354,702.6006536,7.203287119,47.00593599,0.759178892
1.392567568,1,0,0,0,0,0,0,34.45128384,296.9733982,9.300827503,0.044697243,0.040540804,15.90221671,0.000284155,-0.000105441,-3.99E-06,-6.46E-05,0.000100005,0.000100753,1047.528251,3855.451683,334.6198658,-0.000257815,0.000862103,573.7955635,-5.93E-05,-1.78E-06,-3.05E-05
1,0.997027027,0,-0.006756757,0,0,0,0,52.35239147,422.7256815,16.79590616,0.020723357,0.020513971,27.3913009,2.78E-06,4.36E-05,-8.49E-07,2.36E-05,1.13E-06,2.47E-05,1781.884896,5620.804674,600.2351747,0.000147927,7.61E-06,924.9740034,7.807084182,46.87583436,-1.795643713
1.191891892,1,0,-0.012162162,0,0,0,0,40.41542932,350.5975917,13.30941077,0.01527077,0.013390159,21.40373344,1.99E-05,-2.81E-05,-9.16E-06,-4.39E-06,6.04E-06,7.20E-06,1314.139777,4607.831578,451.4246679,-2.88E-05,0.000144296,735.3496656,7.613732317,0,0.000171915
1,1,0,0,0,0,-0.006756757,-0.001351351,33.63500067,323.8885676,20.64746039,-0.960046982,-1.992302706,8.548388101,-8.265304003,0.151735212,4.200189576,0.313692447,-0.027191536,-3.012178175,1177.960229,4098.132,448.2236517,-86.73047594,-60.48385592,471.9929238,6.03E-06,0.000105981,5.60E-05
1,1,0,0.037837838,0,-0.012864865,0,0,24.74265513,411.1643465,15.91223446,0.03971641,0.045344529,13.0589317,0.408062026,-4.066587864,-1.797353587,0.007362128,0.008180563,-3.0291094,837.1925257,5367.023186,430.0734844,0.014467498,-0.008847718,467.1473716,12.22251835,0,0.127826048
1,1,0,0,-0.018918919,0,0,0,51.3247853,419.4804069,17.82014528,-0.267164368,-0.060873466,26.55634375,1.76E-06,8.66E-06,-1.57E-06,3.98E-06,-3.55E-07,5.20E-06,1748.683964,5586.046071,602.9812838,6.24E-05,1.53E-05,921.6515261,7.651492328,47.4283998,5.757943323
1,1,0,0,0,0,0.005405405,0,33.86780294,346.4521973,15.7711295,0.069049551,0.074829525,10.06480576,8.259534641,0.115828432,5.89800267,-0.026252935,-0.026826203,3.287989423,1165.476769,4470.446308,456.9804839,-0.145184694,-0.022585353,499.4721721,-0.883181339,37.07985666,0.453023762
1.340540541,0.983243243,0,0,0,0,0,0,36.21246611,320.8505953,-1.503403525,0.557731342,0.542718484,18.33964884,-2.88E-05,4.34E-05,6.77E-06,3.61E-06,-7.04E-05,-6.95E-05,1122.841642,4198.663101,338.0278544,-2.10E-05,-0.000289288,645.649071,0.000125888,-1.19E-05,5.70E-05
1,1,0,0,0,-0.006891892,0,0,26.08580822,408.1962595,15.26508956,0.021726486,0.018834053,12.89774072,0.782514482,-5.026174723,-1.290745053,0.0019758,0.000372244,-2.914345942,893.9138537,5332.710899,492.3895927,0.00081899,-0.02781533,474.6037998,8.64E-05,45.74711947,0.264318984
1,1,0,0,0,0,0.006756757,0,32.67166332,325.0799175,26.32650729,0.264759436,0.261214166,10.97384723,8.713627525,0.094074177,4.173439078,-0.11306633,-0.110584675,2.847394427,1144.71627,4153.997547,479.1878233,-0.726067488,0.210431718,528.4762785,-8.77E-06,-0.000274743,-0.000141755
1,0.996216216,0,0,0,-0.001378378,0,0,29.89496694,414.0765156,15.33873455,0.025469169,0.025085905,14.1609309,3.683783483,15.76517092,-0.418660691,0.002947023,0.003028103,12.63949171,1013.736393,5377.398982,563.5352468,0.129932697,0.109136747,507.3564262,8.53E-07,-7.63E-08,3.88E-07
1.281081081,1,0,0,0,-0.009648649,0,0,37.63744577,324.706684,13.00986771,0.017471377,0.013786681,18.94230747,-9.301528297,0.252194705,0.338252996,-0.001057703,-0.00019797,-5.102186568,1184.409526,4241.381448,379.246807,1.422577979,1.491399426,658.5591838,7.05E-05,0,3.52E-05
0.961486486,1,0,0.02972973,0,0,0,0,6.095191166,411.0061367,12.79746343,0.120084387,0.122866584,-2.042916435,-3.27E-05,2.51E-05,5.79E-06,-4.36E-07,9.57E-06,-2.13E-05,172.0348978,5065.157204,468.2768211,-0.000309841,-0.0002752,-54.08465801,6.282551976,-1.51E-05,0.00044562
1,1.009594595,0,0,0.048648649,0,0,0,43.60034708,407.9970136,18.98260663,0.050773293,0.048955468,21.07402284,-2.33E-06,-6.02E-06,-2.33E-06,-2.26E-06,2.34E-07,-2.93E-06,1475.818268,5297.769243,578.9261432,0.000132952,1.77E-05,710.5574006,-0.00010429,46.26406847,-0.003239853
